Date,Capital
2008-09-11,9914.143979700964
2008-09-12,9914.143979700964
2008-09-15,9914.143979700964
2008-09-16,9914.143979700964
2008-09-17,9914.143979700964
2008-09-18,9914.143979700964
2008-09-19,9914.143979700964
2008-09-22,9914.143979700964
2008-09-23,9914.143979700964
2008-09-24,9914.143979700964
2008-09-25,9914.143979700964
2008-09-26,9914.143979700964
2008-09-29,9914.143979700964
2008-09-30,9914.143979700964
2008-10-01,9914.143979700964
2008-10-02,9914.143979700964
2008-10-03,9914.143979700964
2008-10-06,9914.143979700964
2008-10-07,9914.143979700964
2008-10-08,9914.143979700964
2008-10-09,9914.143979700964
2008-10-10,9914.143979700964
2008-10-13,9914.143979700964
2008-10-14,9914.143979700964
2008-10-15,9914.143979700964
2008-10-16,9914.143979700964
2008-10-17,9914.143979700964
2008-10-20,9914.143979700964
2008-10-21,9914.143979700964
2008-10-22,9914.143979700964
2008-10-23,9914.143979700964
2008-10-24,9914.143979700964
2008-10-27,9914.143979700964
2008-10-28,9914.143979700964
2008-10-29,9914.143979700964
2008-10-30,9914.143979700964
2008-10-31,9914.143979700964
2008-11-03,9914.143979700964
2008-11-04,9914.143979700964
2008-11-05,9914.143979700964
2008-11-06,9914.143979700964
2008-11-07,9914.143979700964
2008-11-10,9914.143979700964
2008-11-11,9914.143979700964
2008-11-12,9914.143979700964
2008-11-13,9914.143979700964
2008-11-14,9914.143979700964
2008-11-17,9914.143979700964
2008-11-18,9914.143979700964
2008-11-19,9914.143979700964
2008-11-20,9914.143979700964
2008-11-21,9914.143979700964
2008-11-24,9914.143979700964
2008-11-25,9914.143979700964
2008-11-26,9914.143979700964
2008-11-28,9914.143979700964
2008-12-01,9914.143979700964
2008-12-02,9914.143979700964
2008-12-03,9914.143979700964
2008-12-04,9914.143979700964
2008-12-05,9914.143979700964
2008-12-08,9914.143979700964
2008-12-09,9914.143979700964
2008-12-10,9914.143979700964
2008-12-11,9914.143979700964
2008-12-12,9914.143979700964
2008-12-15,9914.143979700964
2008-12-16,9914.143979700964
2008-12-17,9914.143979700964
2008-12-18,9914.143979700964
2008-12-19,9914.143979700964
2008-12-22,9914.143979700964
2008-12-23,9914.143979700964
2008-12-24,9914.143979700964
2008-12-26,9914.143979700964
2008-12-29,9914.143979700964
2008-12-30,9914.143979700964
2008-12-31,9914.143979700964
2009-01-02,9914.143979700964
2009-01-05,9914.143979700964
2009-01-06,9914.143979700964
2009-01-07,9914.143979700964
2009-01-08,9914.143979700964
2009-01-09,9914.143979700964
2009-01-12,9914.143979700964
2009-01-13,9914.143979700964
2009-01-14,9914.143979700964
2009-01-15,9914.143979700964
2009-01-16,9914.143979700964
2009-01-20,9914.143979700964
2009-01-21,9914.143979700964
2009-01-22,9914.143979700964
2009-01-23,9914.143979700964
2009-01-26,9914.143979700964
2009-01-27,9914.143979700964
2009-01-28,9914.143979700964
2009-01-29,9914.143979700964
2009-01-30,9914.143979700964
2009-02-02,9914.143979700964
2009-02-03,9914.143979700964
2009-02-04,9914.143979700964
2009-02-05,9914.143979700964
2009-02-06,9914.143979700964
2009-02-09,9914.143979700964
2009-02-10,9914.143979700964
2009-02-11,9914.143979700964
2009-02-12,9914.143979700964
2009-02-13,9914.143979700964
2009-02-17,9914.143979700964
2009-02-18,9914.143979700964
2009-02-19,9914.143979700964
2009-02-20,9914.143979700964
2009-02-23,9914.143979700964
2009-02-24,9914.143979700964
2009-02-25,9914.143979700964
2009-02-26,9914.143979700964
2009-02-27,9914.143979700964
2009-03-02,9914.143979700964
2009-03-03,9914.143979700964
2009-03-04,9914.143979700964
2009-03-05,9914.143979700964
2009-03-06,9914.143979700964
2009-03-09,9914.143979700964
2009-03-10,9914.143979700964
2009-03-11,9914.143979700964
2009-03-12,9914.143979700964
2009-03-13,9914.143979700964
2009-03-16,9914.143979700964
2009-03-17,9914.143979700964
2009-03-18,9914.143979700964
2009-03-19,9914.143979700964
2009-03-20,9914.143979700964
2009-03-23,9914.143979700964
2009-03-24,9914.143979700964
2009-03-25,9914.143979700964
2009-03-26,9914.143979700964
2009-03-27,9914.143979700964
2009-03-30,9914.143979700964
2009-03-31,9914.143979700964
2009-04-01,9914.143979700964
2009-04-02,9914.143979700964
2009-04-03,9914.143979700964
2009-04-06,9914.143979700964
2009-04-07,9914.143979700964
2009-04-08,9914.143979700964
2009-04-09,9914.143979700964
2009-04-13,9914.143979700964
2009-04-14,9914.143979700964
2009-04-15,9914.143979700964
2009-04-16,9914.143979700964
2009-04-17,9914.143979700964
2009-04-20,9914.143979700964
2009-04-21,9914.143979700964
2009-04-22,9914.143979700964
2009-04-23,9914.143979700964
2009-04-24,9914.143979700964
2009-04-27,9914.143979700964
2009-04-28,9914.143979700964
2009-04-29,9914.143979700964
2009-04-30,9914.143979700964
2009-05-01,9914.143979700964
2009-05-04,9914.143979700964
2009-05-05,9914.143979700964
2009-05-06,9914.143979700964
2009-05-07,9914.143979700964
2009-05-08,9914.143979700964
2009-05-11,9914.143979700964
2009-05-12,9914.143979700964
2009-05-13,9914.143979700964
2009-05-14,9914.143979700964
2009-05-15,9914.143979700964
2009-05-18,9914.143979700964
2009-05-19,9914.143979700964
2009-05-20,9914.143979700964
2009-05-21,9914.143979700964
2009-05-22,9914.143979700964
2009-05-26,9914.143979700964
2009-05-27,9914.143979700964
2009-05-28,9914.143979700964
2009-05-29,9914.143979700964
2009-06-01,9914.143979700964
2009-06-02,9914.143979700964
2009-06-03,9914.143979700964
2009-06-04,9914.143979700964
2009-06-05,9914.143979700964
2009-06-08,9914.143979700964
2009-06-09,9914.143979700964
2009-06-10,9914.143979700964
2009-06-11,9914.143979700964
2009-06-12,9914.143979700964
2009-06-15,9914.143979700964
2009-06-16,9914.143979700964
2009-06-17,9914.143979700964
2009-06-18,9914.143979700964
2009-06-19,9914.143979700964
2009-06-22,9914.143979700964
2009-06-23,9914.143979700964
2009-06-24,9914.143979700964
2009-06-25,9914.143979700964
2009-06-26,9914.143979700964
2009-06-29,9914.143979700964
2009-06-30,9914.143979700964
2009-07-01,9913.517655420143
2009-07-02,9252.388555045245
2009-07-06,9251.750619266722
2009-07-07,8697.55002472659
2009-07-08,8696.915672185336
2009-07-09,8753.426594866292
2009-07-10,8790.331687229364
2009-07-13,9136.59350181867
2009-07-14,9135.981949375442
2009-07-15,10079.933351957863
2009-07-16,10465.741522389075
2009-07-17,10759.267046867002
2009-07-20,11103.93717030699
2009-07-21,11241.871740245018
2009-07-22,11241.279552767082
2009-07-23,11884.038282103538
2009-07-24,11842.049018378042
2009-07-27,12029.740882601374
2009-07-28,12029.144491986139
2009-07-29,12244.918762213762
2009-07-30,12534.424943875947
2009-07-31,12398.888341974174
2009-08-03,12907.421672309627
2009-08-04,12900.915915418342
2009-08-05,12656.158361157291
2009-08-06,12520.058675430357
2009-08-07,12519.477183091944
2009-08-10,12164.096019614337
2009-08-11,12042.562345500568
2009-08-12,12041.994202655309
2009-08-13,12332.93146791141
2009-08-14,12207.369567226662
2009-08-17,12066.995542257739
2009-08-18,12066.396872985842
2009-08-19,12199.186014110168
2009-08-20,12742.315370020318
2009-08-21,13354.016167658607
2009-08-24,13448.710063378412
2009-08-25,13527.077425353424
2009-08-26,13458.50598362529
2009-08-27,13396.867738854962
2009-08-28,13257.603019507662
2009-08-31,13257.003275992221
2009-09-01,12541.94494915589
2009-09-02,12541.338738617
2009-09-03,12841.1229144588
2009-09-04,13516.739457808146
2009-09-08,14176.925933283283
2009-09-09,14472.301518303879
2009-09-10,14894.424089434056
2009-09-11,15069.665574576871
2009-09-14,15098.321414914693
2009-09-15,15345.202500902054
2009-09-16,15974.528840628771
2009-09-17,16083.641463453545
2009-09-18,16196.060529394217
2009-09-21,16170.711132172302
2009-09-22,16340.750344296124
2009-09-23,16208.611564747382
2009-09-24,16070.685962466609
2009-09-25,16070.050940031135
2009-09-28,16748.920826713962
2009-09-29,16783.557045422272
2009-09-30,16631.042112705458
2009-10-01,16440.62996876883
2009-10-02,16439.940502777
2009-10-05,16878.673188707002
2009-10-06,17698.4765504162
2009-10-07,17999.3218207682
2009-10-08,18345.293881673
2009-10-09,18498.2235607686
2009-10-12,18801.575875040202
2009-10-13,18757.702606447197
2009-10-14,19585.0270999152
